id,artist,title,price,label,labelnum,quantity,pic,created_at,updated_at
296,SHUGGIE OTIS,HERE COMES SHUGGIE OTIS (180 GRAM),10.5,EPIC,743877,1,,,
297,SHUGGIE OTIS,INSPIRATION INFORMATION,10.5,EPIC,747285,1,,,
298,SKIP JAMES,DEVIL GOT MY WOMAN,7,ATARD,3666,1,,,
299,SKIP JAMES,THE COMPLETE 1931 SESSION (180 GRAM),10,YAZ,1072,1,,,
300,SON HOUSE,FATHER OF FOLK BLUES (180 GRAM),10.5,COLUM,9217,1,,,
301,SPIDERMAN 3 - ORIGINAL SOUNDTRACK (2 LP'S),LTD EDITION NUMBERED PICTURE DISCS SET 1 OF 4,8.5,RECOR,4958-1,1,,,
302,SPIDERMAN 3 - ORIGINAL SOUNDTRACK (2 LP'S),LTD EDITION NUMBERED PICTURE DISCS SET 2 OF 4,8.5,RECOR,49939-2,1,,,
303,SPIDERMAN 3 - ORIGINAL SOUNDTRACK (2 LP'S),LTD EDITION NUMBERED PICTURE DISCS SET 3 OF 4,8.5,RECOR,49939-3,1,,,
304,SPIDERMAN 3 - ORIGINAL SOUNDTRACK (2 LP'S),LTD EDITION NUMBERED PICTURE DISCS SET 4 OF 4,8.5,RECOR,49938-4,1,,,
305,STEPHEN STILLS,MANASSAS (2 180 GRAM LP'S),18,RHI,903,1,,,
306,STEVIE WONDER,IN SQUARE CIRCLE,6,MOT,6134,1,,,
307,SUN RA,OF MYTHIC WORLDS,8,PHJZ,1007,1,,,
308,SUN RA,LANQUIDITY,8,PHJZ,666,1,,,
309,SUN RA,LANQUIDITY (COLOR),9,PHJZ,666C,1,,,
310,SUNNY MURRAY'S UNTOUCHABLE FACTOR,APPLECORES,7.5,PHJZ,4,1,,,
311,SWEAT BAND (BOOTSY/MACEO/FRED WESLEY),SWEAT BAND,3,CBS,36857,1,,,
312,T.I. (BUSTA RHYMES / EMINEM / JAY-Z),VS T.I.P. (NELLY / WYCLEF),6,ATL,201468,1,,,
313,TERRY RILEY,A RAINBOW IN CURVED AIR (180 GRAM),10,COLUM,749408,1,,,
314,TERRY RILEY,IN C (180 GRAM),14,COULM,7178,1,,,
315,THE BAND (180 GRAM),THE CAPITOL ALBUMS 1968-77 (8 LP'S),77.5,CAP,71201H,1,,,
316,THELONIOUS MONK,IT'S MONK TIME (180 GRAM),12.9,COLUM,8984H,1,,,
317,THELONIOUS MONK,MONK. (180 GRAM),12.9,COLUM,9091,1,,,
318,THIN LIZZY,THUNDER AND LIGHTINING (180 GR) DOWNLOAD VOUCHER,17.3,VERT,54258,1,,,
319,TOM SCOTT,RURAL STILL LIFE (180 GRAM PRESSING),11.5,IMPL,9171,1,,,
320,TOM WAITS,ONE FROM THE HEART (180 GRAM),13.5,COLUM,746215,1,,,
321,TOM WAITS,SWORDFISHTROMBONES,13.6,ISL,24691,1,,,
322,TOMS,THE TOMS,7,BSHEE,1,1,,,
323,TOO $HORT,LIFE IS (180 GRAM VINYL),10.5,JIV,755997,1,,,
324,TWISTED SISTER,COME OUT AND PLAY,7,ATL,81275,1,,,
325,VIOLINAIRES,GROOVIN' WITH JESUS,8,CHCK,10067,1,,,
326,WELDON IRVINE,SINBAD,8,BMG,11795,1,,,
327,WELDON IRVINE,SPIRIT MAN,8,BMG,11796,1,,,
328,WENDELL HARRISON,AN EVENING WITH THE DEVIL,7,TRIBE,2212,1,,,
329,WILLIE COLON,COSA NUESTRA,8,FA,384,1,,,
330,WILLIE COLON,COSA MUESTRA (180 GRAM),8.75,FA,384H,1,,,
331,WILLIE COLON,EL JUICIO,7,FA,424,1,,,
332,WILLIE COLON,EL JUICIO (180 GRAM),8.5,FA,424H,1,,,
333,WILLIE COLON,EL MALO,8,FA,337,1,,,
334,WILLIE COLON,"THE GOOD, THE BAD, THE UGLY ",8,FA,484,1,,,
335,WILLIE COLON,"THE GOOD, THE BAD, THE UGLY (180 GRAM)",8.75,FA,484H,1,,,
336,WILLIE COLON,THE HUSTLER,7,FA,347,1,,,
337,WILLIE COLON,WILLIE,8,FA,464,1,,,
338,WILLIE COLON,WILLIE (180 GRAM),8.5,FA,464H,1,,,
339,WILLIE DIXON,I AM THE BLUES (180 GRAM),11.5,COLUM,9987,1,,,
340,WILLIE NELSON,PHASES AND STAGES,9.9,ATL,7291,1,,,
341,WILLIE NELSON,THE POET,4,ACCO,7236,1,,,
342,YOUNGBLOODS,"RIDE THE WIND ""GET TOGETHER"" (180 GRAM)",7,WB,2563,1,,,
343,YOUNG-HOLT UNLIMITED,SOULFUL STRUT,7,BRNS,754144,1,,,
